2.6666666667,4.0000000000
1.3333333333,1.3333333333
2.2222222222,2.6666666667
1.7777777778,1.7777777778
2.0740740741,2.2222222222
1.9259259259,1.9259259259
2.0246913580,2.0740740741
1.9753086420,1.9753086420
2.0082304527,2.0246913580
1.9917695473,1.9917695473
2.0027434842,2.0082304527
1.9972565158,1.9972565158
2.0009144947,2.0027434842
1.9990855053,1.9990855053
2.0003048316,2.0009144947
1.9996951684,1.9996951684
2.0001016105,2.0003048316
1.9998983895,1.9998983895
2.0000338702,2.0001016105
1.9999661298,1.9999661298
2.0000112901,2.0000338702
1.9999887099,1.9999887099
2.0000037634,2.0000112901
1.9999962366,1.9999962366
2.0000012545,2.0000037634
1.9999987455,1.9999987455
2.0000004182,2.0000012545
1.9999995818,1.9999995818
2.0000001394,2.0000004182
